state,district,period,biometric_update_count
Andaman & Nicobar Islands,Andamans,2025-01,993
Andaman & Nicobar Islands,Andamans,2025-02,24
Andaman & Nicobar Islands,Andamans,2025-03,22
Andaman & Nicobar Islands,Andamans,2025-04,12
Andaman & Nicobar Islands,Andamans,2025-05,16
Andaman & Nicobar Islands,Andamans,2025-06,1
Andaman & Nicobar Islands,Andamans,2025-08,21
Andaman & Nicobar Islands,Andamans,2025-09,31
Andaman & Nicobar Islands,Andamans,2025-10,23
Andaman & Nicobar Islands,Andamans,2025-11,17
Andaman & Nicobar Islands,Andamans,2025-12,23
Andaman & Nicobar Islands,Andamans,NaT,100
Andaman & Nicobar Islands,Nicobars,2025-01,1
Andaman & Nicobar Islands,South Andaman,2025-01,1
Andaman & Nicobar Islands,South Andaman,2025-02,5
Andaman & Nicobar Islands,South Andaman,2025-03,14
Andaman & Nicobar Islands,South Andaman,2025-04,8
Andaman & Nicobar Islands,South Andaman,2025-05,6
Andaman & Nicobar Islands,South Andaman,2025-08,8
Andaman & Nicobar Islands,South Andaman,2025-09,2
Andaman & Nicobar Islands,South Andaman,2025-10,14
Andaman & Nicobar Islands,South Andaman,2025-11,8
Andaman & Nicobar Islands,South Andaman,2025-12,11
Andaman & Nicobar Islands,South Andaman,NaT,21
Andaman And Nicobar Islands,Nicobar,2025-01,1027
Andaman And Nicobar Islands,Nicobar,2025-02,36
Andaman And Nicobar Islands,Nicobar,2025-03,26
Andaman And Nicobar Islands,Nicobar,2025-04,13
Andaman And Nicobar Islands,Nicobar,2025-05,4
Andaman And Nicobar Islands,Nicobar,2025-06,2
Andaman And Nicobar Islands,Nicobar,2025-08,20
Andaman And Nicobar Islands,Nicobar,2025-09,15
Andaman And Nicobar Islands,Nicobar,2025-10,24
Andaman And Nicobar Islands,Nicobar,2025-11,18
Andaman And Nicobar Islands,Nicobar,2025-12,12
Andaman And Nicobar Islands,Nicobar,NaT,51
Andaman And Nicobar Islands,North And Middle Andaman,2025-01,4090
Andaman And Nicobar Islands,North And Middle Andaman,2025-02,42
Andaman And Nicobar Islands,North And Middle Andaman,2025-03,29
Andaman And Nicobar Islands,North And Middle Andaman,2025-04,19
Andaman And Nicobar Islands,North And Middle Andaman,2025-05,25
Andaman And Nicobar Islands,North And Middle Andaman,2025-06,2
Andaman And Nicobar Islands,North And Middle Andaman,2025-08,34
Andaman And Nicobar Islands,North And Middle Andaman,2025-09,67
Andaman And Nicobar Islands,North And Middle Andaman,2025-10,79
Andaman And Nicobar Islands,North And Middle Andaman,2025-11,40
Andaman And Nicobar Islands,North And Middle Andaman,2025-12,63
Andaman And Nicobar Islands,North And Middle Andaman,NaT,285
Andaman And Nicobar Islands,South Andaman,2025-01,6177
Andaman And Nicobar Islands,South Andaman,2025-02,77
Andaman And Nicobar Islands,South Andaman,2025-03,83
Andaman And Nicobar Islands,South Andaman,2025-04,83
Andaman And Nicobar Islands,South Andaman,2025-05,60
Andaman And Nicobar Islands,South Andaman,2025-06,3
Andaman And Nicobar Islands,South Andaman,2025-08,99
Andaman And Nicobar Islands,South Andaman,2025-09,117
Andaman And Nicobar Islands,South Andaman,2025-10,109
Andaman And Nicobar Islands,South Andaman,2025-11,83
Andaman And Nicobar Islands,South Andaman,2025-12,68
Andaman And Nicobar Islands,South Andaman,NaT,358
Andhra Pradesh,Adilabad,2025-01,25470
Andhra Pradesh,Adilabad,2025-02,575
Andhra Pradesh,Adilabad,2025-03,447
Andhra Pradesh,Adilabad,2025-04,343
Andhra Pradesh,Adilabad,2025-05,157
Andhra Pradesh,Adilabad,2025-06,296
Andhra Pradesh,Adilabad,2025-07,1
Andhra Pradesh,Adilabad,2025-08,497
Andhra Pradesh,Adilabad,2025-09,439
Andhra Pradesh,Adilabad,2025-10,423
Andhra Pradesh,Adilabad,2025-11,421
Andhra Pradesh,Adilabad,2025-12,526
Andhra Pradesh,Adilabad,NaT,2567
Andhra Pradesh,Alluri Sitharama Raju,2025-01,10913
Andhra Pradesh,Alluri Sitharama Raju,2025-02,104
Andhra Pradesh,Alluri Sitharama Raju,2025-03,60
Andhra Pradesh,Alluri Sitharama Raju,2025-04,80
Andhra Pradesh,Alluri Sitharama Raju,2025-05,72
Andhra Pradesh,Alluri Sitharama Raju,2025-06,55
Andhra Pradesh,Alluri Sitharama Raju,2025-07,1
Andhra Pradesh,Alluri Sitharama Raju,2025-08,83
Andhra Pradesh,Alluri Sitharama Raju,2025-09,96
Andhra Pradesh,Alluri Sitharama Raju,2025-10,79
