state,district,period,demographic_update_count
Andaman & Nicobar Islands,Andamans,2025-01,13
Andaman & Nicobar Islands,Andamans,2025-02,8
Andaman & Nicobar Islands,Andamans,2025-03,26
Andaman & Nicobar Islands,Andamans,2025-04,19
Andaman & Nicobar Islands,Andamans,2025-05,6
Andaman & Nicobar Islands,Andamans,2025-06,3
Andaman & Nicobar Islands,Andamans,2025-07,4
Andaman & Nicobar Islands,Andamans,2025-08,1
Andaman & Nicobar Islands,Andamans,2025-09,9
Andaman & Nicobar Islands,Andamans,2025-10,2
Andaman & Nicobar Islands,Andamans,2025-11,1
Andaman & Nicobar Islands,Andamans,2025-12,12
Andaman & Nicobar Islands,Andamans,NaT,70
Andaman & Nicobar Islands,Nicobars,NaT,2
Andaman & Nicobar Islands,South Andaman,2025-01,7
Andaman & Nicobar Islands,South Andaman,2025-02,7
Andaman & Nicobar Islands,South Andaman,2025-03,8
Andaman & Nicobar Islands,South Andaman,2025-05,7
Andaman & Nicobar Islands,South Andaman,2025-06,2
Andaman & Nicobar Islands,South Andaman,2025-07,1
Andaman & Nicobar Islands,South Andaman,2025-08,7
Andaman & Nicobar Islands,South Andaman,2025-10,2
Andaman & Nicobar Islands,South Andaman,2025-11,5
Andaman & Nicobar Islands,South Andaman,2025-12,1
Andaman & Nicobar Islands,South Andaman,NaT,36
Andaman And Nicobar Islands,Nicobar,2025-01,3
Andaman And Nicobar Islands,Nicobar,2025-03,15
Andaman And Nicobar Islands,Nicobar,2025-04,7
Andaman And Nicobar Islands,Nicobar,2025-06,2
Andaman And Nicobar Islands,Nicobar,2025-07,3
Andaman And Nicobar Islands,Nicobar,2025-08,4
Andaman And Nicobar Islands,Nicobar,2025-09,1
Andaman And Nicobar Islands,Nicobar,2025-12,4
Andaman And Nicobar Islands,Nicobar,NaT,25
Andaman And Nicobar Islands,North And Middle Andaman,2025-01,447
Andaman And Nicobar Islands,North And Middle Andaman,2025-02,4
Andaman And Nicobar Islands,North And Middle Andaman,2025-03,49
Andaman And Nicobar Islands,North And Middle Andaman,2025-04,8
Andaman And Nicobar Islands,North And Middle Andaman,2025-05,4
Andaman And Nicobar Islands,North And Middle Andaman,2025-06,2
Andaman And Nicobar Islands,North And Middle Andaman,2025-07,11
Andaman And Nicobar Islands,North And Middle Andaman,2025-08,18
Andaman And Nicobar Islands,North And Middle Andaman,2025-10,3
Andaman And Nicobar Islands,North And Middle Andaman,2025-11,10
Andaman And Nicobar Islands,North And Middle Andaman,2025-12,7
Andaman And Nicobar Islands,North And Middle Andaman,NaT,109
Andaman And Nicobar Islands,South Andaman,2025-01,28
Andaman And Nicobar Islands,South Andaman,2025-02,25
Andaman And Nicobar Islands,South Andaman,2025-03,44
Andaman And Nicobar Islands,South Andaman,2025-04,40
Andaman And Nicobar Islands,South Andaman,2025-05,44
Andaman And Nicobar Islands,South Andaman,2025-06,12
Andaman And Nicobar Islands,South Andaman,2025-07,14
Andaman And Nicobar Islands,South Andaman,2025-08,32
Andaman And Nicobar Islands,South Andaman,2025-09,25
Andaman And Nicobar Islands,South Andaman,2025-10,15
Andaman And Nicobar Islands,South Andaman,2025-11,85
Andaman And Nicobar Islands,South Andaman,2025-12,53
Andaman And Nicobar Islands,South Andaman,NaT,245
Andhra Pradesh,Adilabad,2025-01,1133
Andhra Pradesh,Adilabad,2025-02,220
Andhra Pradesh,Adilabad,2025-03,569
Andhra Pradesh,Adilabad,2025-04,502
Andhra Pradesh,Adilabad,2025-05,79
Andhra Pradesh,Adilabad,2025-06,143
Andhra Pradesh,Adilabad,2025-07,170
Andhra Pradesh,Adilabad,2025-08,259
Andhra Pradesh,Adilabad,2025-09,132
Andhra Pradesh,Adilabad,2025-10,188
Andhra Pradesh,Adilabad,2025-11,204
Andhra Pradesh,Adilabad,2025-12,221
Andhra Pradesh,Adilabad,NaT,3219
Andhra Pradesh,Alluri Sitharama Raju,2025-01,2354
Andhra Pradesh,Alluri Sitharama Raju,2025-02,32
Andhra Pradesh,Alluri Sitharama Raju,2025-03,79
Andhra Pradesh,Alluri Sitharama Raju,2025-04,41
Andhra Pradesh,Alluri Sitharama Raju,2025-05,54
Andhra Pradesh,Alluri Sitharama Raju,2025-06,65
Andhra Pradesh,Alluri Sitharama Raju,2025-07,77
Andhra Pradesh,Alluri Sitharama Raju,2025-08,85
Andhra Pradesh,Alluri Sitharama Raju,2025-09,74
Andhra Pradesh,Alluri Sitharama Raju,2025-10,76
Andhra Pradesh,Alluri Sitharama Raju,2025-11,82
Andhra Pradesh,Alluri Sitharama Raju,2025-12,66
Andhra Pradesh,Alluri Sitharama Raju,NaT,1028
Andhra Pradesh,Anakapalli,2025-01,1667
Andhra Pradesh,Anakapalli,2025-02,63
Andhra Pradesh,Anakapalli,2025-03,95
Andhra Pradesh,Anakapalli,2025-04,61
Andhra Pradesh,Anakapalli,2025-05,29
Andhra Pradesh,Anakapalli,2025-06,81
Andhra Pradesh,Anakapalli,2025-07,121
Andhra Pradesh,Anakapalli,2025-08,60
Andhra Pradesh,Anakapalli,2025-09,88
Andhra Pradesh,Anakapalli,2025-10,26
Andhra Pradesh,Anakapalli,2025-11,54
Andhra Pradesh,Anakapalli,2025-12,97
Andhra Pradesh,Anakapalli,NaT,932
Andhra Pradesh,Anantapur,2025-01,6722
Andhra Pradesh,Anantapur,2025-02,307
Andhra Pradesh,Anantapur,2025-03,589
Andhra Pradesh,Anantapur,2025-04,655
Andhra Pradesh,Anantapur,2025-05,468
Andhra Pradesh,Anantapur,2025-06,285
Andhra Pradesh,Anantapur,2025-07,295
Andhra Pradesh,Anantapur,2025-08,416
Andhra Pradesh,Anantapur,2025-09,269
Andhra Pradesh,Anantapur,2025-10,281
Andhra Pradesh,Anantapur,2025-11,607
Andhra Pradesh,Anantapur,2025-12,682
Andhra Pradesh,Anantapur,NaT,5946
Andhra Pradesh,Ananthapur,2025-01,3823
Andhra Pradesh,Ananthapur,2025-02,107
Andhra Pradesh,Ananthapur,2025-03,192
Andhra Pradesh,Ananthapur,2025-04,218
Andhra Pradesh,Ananthapur,2025-05,161
Andhra Pradesh,Ananthapur,2025-06,146
Andhra Pradesh,Ananthapur,2025-07,191
Andhra Pradesh,Ananthapur,2025-08,249
Andhra Pradesh,Ananthapur,2025-09,70
Andhra Pradesh,Ananthapur,2025-10,95
Andhra Pradesh,Ananthapur,2025-11,311
Andhra Pradesh,Ananthapur,2025-12,182
Andhra Pradesh,Ananthapur,NaT,2674
Andhra Pradesh,Ananthapuramu,2025-01,9320
Andhra Pradesh,Ananthapuramu,2025-02,145
Andhra Pradesh,Ananthapuramu,2025-03,316
Andhra Pradesh,Ananthapuramu,2025-04,201
Andhra Pradesh,Ananthapuramu,2025-05,167
Andhra Pradesh,Ananthapuramu,2025-06,221
Andhra Pradesh,Ananthapuramu,2025-07,263
Andhra Pradesh,Ananthapuramu,2025-08,241
Andhra Pradesh,Ananthapuramu,2025-09,104
Andhra Pradesh,Ananthapuramu,2025-10,107
Andhra Pradesh,Ananthapuramu,2025-11,182
Andhra Pradesh,Ananthapuramu,2025-12,312
Andhra Pradesh,Ananthapuramu,NaT,3062
Andhra Pradesh,Annamayya,2025-01,7242
Andhra Pradesh,Annamayya,2025-02,86
Andhra Pradesh,Annamayya,2025-03,239
Andhra Pradesh,Annamayya,2025-04,69
Andhra Pradesh,Annamayya,2025-05,117
Andhra Pradesh,Annamayya,2025-06,104
Andhra Pradesh,Annamayya,2025-07,46
Andhra Pradesh,Annamayya,2025-08,249
Andhra Pradesh,Annamayya,2025-09,134
Andhra Pradesh,Annamayya,2025-10,59
Andhra Pradesh,Annamayya,2025-11,194
Andhra Pradesh,Annamayya,2025-12,165
Andhra Pradesh,Annamayya,NaT,1586
Andhra Pradesh,Bapatla,2025-01,1759
Andhra Pradesh,Bapatla,2025-02,74
Andhra Pradesh,Bapatla,2025-03,88
Andhra Pradesh,Bapatla,2025-04,52
Andhra Pradesh,Bapatla,2025-05,82
Andhra Pradesh,Bapatla,2025-06,130
Andhra Pradesh,Bapatla,2025-07,33
Andhra Pradesh,Bapatla,2025-08,110
Andhra Pradesh,Bapatla,2025-09,66
Andhra Pradesh,Bapatla,2025-10,23
Andhra Pradesh,Bapatla,2025-11,105
Andhra Pradesh,Bapatla,2025-12,87
Andhra Pradesh,Bapatla,NaT,761
Andhra Pradesh,Chittoor,2025-01,31845
Andhra Pradesh,Chittoor,2025-02,514
Andhra Pradesh,Chittoor,2025-03,1239
Andhra Pradesh,Chittoor,2025-04,1235
Andhra Pradesh,Chittoor,2025-05,871
Andhra Pradesh,Chittoor,2025-06,961
Andhra Pradesh,Chittoor,2025-07,364
Andhra Pradesh,Chittoor,2025-08,980
Andhra Pradesh,Chittoor,2025-09,801
Andhra Pradesh,Chittoor,2025-10,555
Andhra Pradesh,Chittoor,2025-11,1004
Andhra Pradesh,Chittoor,2025-12,712
Andhra Pradesh,Chittoor,NaT,10120
Andhra Pradesh,Cuddapah,2025-01,11041
Andhra Pradesh,Cuddapah,2025-02,347
Andhra Pradesh,Cuddapah,2025-03,595
Andhra Pradesh,Cuddapah,2025-04,528
Andhra Pradesh,Cuddapah,2025-05,488
Andhra Pradesh,Cuddapah,2025-06,612
Andhra Pradesh,Cuddapah,2025-07,290
Andhra Pradesh,Cuddapah,2025-08,859
Andhra Pradesh,Cuddapah,2025-09,389
Andhra Pradesh,Cuddapah,2025-10,443
Andhra Pradesh,Cuddapah,2025-11,628
Andhra Pradesh,Cuddapah,2025-12,424
Andhra Pradesh,Cuddapah,NaT,7676
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-01,2051
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-02,54
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-03,126
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-04,47
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-05,90
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-06,79
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-07,103
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-08,130
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-09,88
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-10,57
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-11,149
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-12,86
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,NaT,1136
Andhra Pradesh,East Godavari,2025-01,20508
Andhra Pradesh,East Godavari,2025-02,507
Andhra Pradesh,East Godavari,2025-03,1001
Andhra Pradesh,East Godavari,2025-04,1138
Andhra Pradesh,East Godavari,2025-05,541
Andhra Pradesh,East Godavari,2025-06,785
Andhra Pradesh,East Godavari,2025-07,523
Andhra Pradesh,East Godavari,2025-08,808
Andhra Pradesh,East Godavari,2025-09,1033
Andhra Pradesh,East Godavari,2025-10,669
Andhra Pradesh,East Godavari,2025-11,1309
Andhra Pradesh,East Godavari,2025-12,852
Andhra Pradesh,East Godavari,NaT,11554
Andhra Pradesh,Eluru,2025-01,1918
Andhra Pradesh,Eluru,2025-02,87
Andhra Pradesh,Eluru,2025-03,143
Andhra Pradesh,Eluru,2025-04,91
Andhra Pradesh,Eluru,2025-05,46
Andhra Pradesh,Eluru,2025-06,68
Andhra Pradesh,Eluru,2025-07,200
Andhra Pradesh,Eluru,2025-08,168
Andhra Pradesh,Eluru,2025-09,173
Andhra Pradesh,Eluru,2025-10,48
Andhra Pradesh,Eluru,2025-11,132
Andhra Pradesh,Eluru,2025-12,146
Andhra Pradesh,Eluru,NaT,1612
Andhra Pradesh,Guntur,2025-01,32707
Andhra Pradesh,Guntur,2025-02,449
Andhra Pradesh,Guntur,2025-03,1208
Andhra Pradesh,Guntur,2025-04,1110
Andhra Pradesh,Guntur,2025-05,867
Andhra Pradesh,Guntur,2025-06,720
Andhra Pradesh,Guntur,2025-07,787
Andhra Pradesh,Guntur,2025-08,805
Andhra Pradesh,Guntur,2025-09,931
Andhra Pradesh,Guntur,2025-10,508
Andhra Pradesh,Guntur,2025-11,1108
Andhra Pradesh,Guntur,2025-12,1143
Andhra Pradesh,Guntur,NaT,11291
Andhra Pradesh,Hyderabad,2025-01,2568
Andhra Pradesh,Hyderabad,2025-02,187
Andhra Pradesh,Hyderabad,2025-03,464
Andhra Pradesh,Hyderabad,2025-04,435
Andhra Pradesh,Hyderabad,2025-05,128
Andhra Pradesh,Hyderabad,2025-06,133
Andhra Pradesh,Hyderabad,2025-07,212
Andhra Pradesh,Hyderabad,2025-08,191
Andhra Pradesh,Hyderabad,2025-09,372
Andhra Pradesh,Hyderabad,2025-10,167
Andhra Pradesh,Hyderabad,2025-11,276
Andhra Pradesh,Hyderabad,2025-12,216
Andhra Pradesh,Hyderabad,NaT,3383
Andhra Pradesh,K.V. Rangareddy,2025-01,1
Andhra Pradesh,K.V. Rangareddy,2025-02,2
Andhra Pradesh,K.V. Rangareddy,2025-03,2
Andhra Pradesh,K.V. Rangareddy,2025-04,1
Andhra Pradesh,K.V. Rangareddy,2025-05,2
Andhra Pradesh,K.V. Rangareddy,2025-07,1
Andhra Pradesh,K.V. Rangareddy,2025-08,2
Andhra Pradesh,K.V. Rangareddy,2025-09,4
Andhra Pradesh,K.V. Rangareddy,2025-10,6
Andhra Pradesh,K.V. Rangareddy,2025-11,3
Andhra Pradesh,K.V. Rangareddy,2025-12,1
Andhra Pradesh,K.V. Rangareddy,NaT,16
Andhra Pradesh,K.V.Rangareddy,2025-01,17
Andhra Pradesh,K.V.Rangareddy,2025-02,4
Andhra Pradesh,K.V.Rangareddy,2025-03,8
Andhra Pradesh,K.V.Rangareddy,2025-04,8
Andhra Pradesh,K.V.Rangareddy,2025-05,2
Andhra Pradesh,K.V.Rangareddy,2025-06,2
Andhra Pradesh,K.V.Rangareddy,2025-07,4
Andhra Pradesh,K.V.Rangareddy,2025-08,4
Andhra Pradesh,K.V.Rangareddy,2025-09,3
Andhra Pradesh,K.V.Rangareddy,2025-10,5
Andhra Pradesh,K.V.Rangareddy,2025-11,2
Andhra Pradesh,K.V.Rangareddy,2025-12,4
Andhra Pradesh,K.V.Rangareddy,NaT,63
Andhra Pradesh,Kakinada,2025-01,4580
Andhra Pradesh,Kakinada,2025-02,78
Andhra Pradesh,Kakinada,2025-03,175
Andhra Pradesh,Kakinada,2025-04,135
Andhra Pradesh,Kakinada,2025-05,74
Andhra Pradesh,Kakinada,2025-06,118
Andhra Pradesh,Kakinada,2025-07,218
Andhra Pradesh,Kakinada,2025-08,157
Andhra Pradesh,Kakinada,2025-09,193
Andhra Pradesh,Kakinada,2025-10,105
Andhra Pradesh,Kakinada,2025-11,131
Andhra Pradesh,Kakinada,2025-12,108
Andhra Pradesh,Kakinada,NaT,1697
Andhra Pradesh,Karim Nagar,2025-01,30
Andhra Pradesh,Karim Nagar,2025-02,8
Andhra Pradesh,Karim Nagar,2025-03,15
Andhra Pradesh,Karim Nagar,2025-04,7
Andhra Pradesh,Karim Nagar,2025-05,9
Andhra Pradesh,Karim Nagar,2025-06,12
Andhra Pradesh,Karim Nagar,2025-07,6
Andhra Pradesh,Karim Nagar,2025-08,31
Andhra Pradesh,Karim Nagar,2025-09,7
Andhra Pradesh,Karim Nagar,2025-10,7
Andhra Pradesh,Karim Nagar,2025-11,9
Andhra Pradesh,Karim Nagar,2025-12,9
Andhra Pradesh,Karim Nagar,NaT,119
Andhra Pradesh,Karimnagar,2025-01,363
Andhra Pradesh,Karimnagar,2025-02,58
Andhra Pradesh,Karimnagar,2025-03,133
Andhra Pradesh,Karimnagar,2025-04,146
Andhra Pradesh,Karimnagar,2025-05,43
