state,district,period,AFI
Andaman & Nicobar Islands,Andamans,2025-01,54.74457373910457
Andaman & Nicobar Islands,Andamans,2025-02,29.54810463518741
Andaman & Nicobar Islands,Andamans,2025-04,17.936000889504214
Andaman & Nicobar Islands,Andamans,2025-09,24.593181238858904
Andaman & Nicobar Islands,Andamans,2025-11,28.760564615906354
Andaman & Nicobar Islands,Andamans,2025-12,21.371860609703372
Andaman & Nicobar Islands,Andamans,NaT,21.755813257919865
Andaman & Nicobar Islands,Nicobars,2025-03,5.481666160603195
Andaman & Nicobar Islands,South Andaman,2025-01,7.1109776128604425
Andaman & Nicobar Islands,South Andaman,2025-04,30.3954939074655
Andaman & Nicobar Islands,South Andaman,2025-05,17.626294888240306
Andaman & Nicobar Islands,South Andaman,2025-08,20.376960189310047
Andaman & Nicobar Islands,South Andaman,2025-11,22.218041887727406
Andaman & Nicobar Islands,South Andaman,2025-12,29.930521596304906
Andaman & Nicobar Islands,South Andaman,NaT,29.21143465245369
Andaman And Nicobar Islands,Nicobar,2025-01,60.80148388428402
Andaman And Nicobar Islands,Nicobar,2025-02,38.979831589230564
Andaman And Nicobar Islands,Nicobar,2025-03,26.7532274362158
Andaman And Nicobar Islands,Nicobar,2025-04,21.567349890266424
Andaman And Nicobar Islands,Nicobar,2025-08,26.447715137571723
Andaman And Nicobar Islands,Nicobar,2025-09,28.97094675738756
Andaman And Nicobar Islands,Nicobar,2025-10,30.763599731403733
Andaman And Nicobar Islands,Nicobar,2025-12,23.96079789511635
Andaman And Nicobar Islands,Nicobar,NaT,23.01369754961436
Andaman And Nicobar Islands,North And Middle Andaman,2025-01,63.144704977455405
Andaman And Nicobar Islands,North And Middle Andaman,2025-02,37.74309944196723
Andaman And Nicobar Islands,North And Middle Andaman,2025-03,20.36375691843995
Andaman And Nicobar Islands,North And Middle Andaman,2025-04,22.733939865127233
Andaman And Nicobar Islands,North And Middle Andaman,2025-05,26.95555361245337
Andaman And Nicobar Islands,North And Middle Andaman,2025-08,21.440836594597638
Andaman And Nicobar Islands,North And Middle Andaman,2025-09,30.74621177021991
Andaman And Nicobar Islands,North And Middle Andaman,2025-10,29.91143842497476
Andaman And Nicobar Islands,North And Middle Andaman,2025-11,25.49033161208802
Andaman And Nicobar Islands,North And Middle Andaman,NaT,25.010230207554518
Andaman And Nicobar Islands,South Andaman,2025-01,66.58929000664654
Andaman And Nicobar Islands,South Andaman,2025-02,33.87783194697547
Andaman And Nicobar Islands,South Andaman,2025-03,28.029800112063565
Andaman And Nicobar Islands,South Andaman,2025-04,22.289247102302767
Andaman And Nicobar Islands,South Andaman,2025-05,19.671978629857367
Andaman And Nicobar Islands,South Andaman,2025-08,24.462176971788175
Andaman And Nicobar Islands,South Andaman,2025-09,26.47762363846437
Andaman And Nicobar Islands,South Andaman,2025-10,27.793507071565717
Andaman And Nicobar Islands,South Andaman,2025-11,17.753561371163322
Andaman And Nicobar Islands,South Andaman,2025-12,19.464392784839855
Andaman And Nicobar Islands,South Andaman,NaT,21.908430117507585
Andhra Pradesh,Adilabad,2025-01,67.02198590153974
Andhra Pradesh,Adilabad,2025-02,33.484905676563834
Andhra Pradesh,Adilabad,2025-03,22.962941394834534
Andhra Pradesh,Adilabad,2025-04,15.564873966457451
Andhra Pradesh,Adilabad,2025-05,21.92967861664603
Andhra Pradesh,Adilabad,2025-06,22.147540089842128
Andhra Pradesh,Adilabad,2025-07,4.0257712939953185
Andhra Pradesh,Adilabad,2025-08,21.86728799851601
Andhra Pradesh,Adilabad,2025-09,24.747362166064043
Andhra Pradesh,Adilabad,2025-10,22.84353076284662
Andhra Pradesh,Adilabad,2025-11,22.328743502337097
Andhra Pradesh,Adilabad,2025-12,23.265769787664233
Andhra Pradesh,Adilabad,NaT,20.872440265953127
Andhra Pradesh,Alluri Sitharama Raju,2025-01,67.85194858660127
Andhra Pradesh,Alluri Sitharama Raju,2025-02,36.366965978041286
Andhra Pradesh,Alluri Sitharama Raju,2025-03,23.5977452421523
Andhra Pradesh,Alluri Sitharama Raju,2025-04,21.858208789838915
Andhra Pradesh,Alluri Sitharama Raju,2025-05,19.464620725399097
Andhra Pradesh,Alluri Sitharama Raju,2025-06,16.439010739409227
Andhra Pradesh,Alluri Sitharama Raju,2025-07,4.59094603817322
Andhra Pradesh,Alluri Sitharama Raju,2025-08,17.452425068030784
Andhra Pradesh,Alluri Sitharama Raju,2025-09,19.363893925553448
Andhra Pradesh,Alluri Sitharama Raju,2025-10,17.92756347696213
Andhra Pradesh,Alluri Sitharama Raju,2025-11,16.604214217834468
Andhra Pradesh,Alluri Sitharama Raju,2025-12,20.77265111532041
Andhra Pradesh,Alluri Sitharama Raju,NaT,15.38782393787186
Andhra Pradesh,Anakapalli,2025-01,59.45145812918302
Andhra Pradesh,Anakapalli,2025-02,22.881828742355456
Andhra Pradesh,Anakapalli,2025-03,14.507388771095924
Andhra Pradesh,Anakapalli,2025-04,11.74944521510289
Andhra Pradesh,Anakapalli,2025-05,7.2361731357350765
Andhra Pradesh,Anakapalli,2025-06,13.080512854697444
Andhra Pradesh,Anakapalli,2025-08,13.270248002576427
Andhra Pradesh,Anakapalli,2025-09,9.866293245584279
Andhra Pradesh,Anakapalli,2025-10,17.135624211568743
Andhra Pradesh,Anakapalli,2025-11,11.86868448370643
Andhra Pradesh,Anakapalli,2025-12,8.446839772052948
Andhra Pradesh,Anakapalli,NaT,11.351591532709996
Andhra Pradesh,Anantapur,2025-01,68.53428839133316
Andhra Pradesh,Anantapur,2025-02,31.052031560538467
Andhra Pradesh,Anantapur,2025-03,22.49053191739064
